roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M14TSZ3PNF5GV4SPV95E9KGZ,01M14SGHT011RS3K43GJ2H3XM3,training,14,1,3,48,12,2,/tangrams/10_7.png,A2,"[""/tangrams/128_15.png"",""/tangrams/186_342.png"",""/tangrams/10_7.png"",""/tangrams/421_349.png""]","[""C1"",""D3"",""A2"",""B4""]",/tangrams/10_7.png,TRUE,/tangrams/10_7.png,01M14TNZR32DDYDVE7ADVHXW77,01M14TK5TJHPMJ8EVNSFSWK56R,1787943835231,NA,2
01M14TSZ4FVPEN7Y84TYNNW08J,01M14SGHT011RS3K43GJ2H3XM3,training,26,2,3,48,12,2,/tangrams/10_349.png,A4,"[""/tangrams/10_349.png"",""/tangrams/128_15.png"",""/tangrams/421_342.png"",""/tangrams/186_7.png""]","[""A4"",""C1"",""B3"",""D2""]",/tangrams/10_349.png,TRUE,/tangrams/10_349.png,01M14TNZR32DDYDVE7ADVHXW77,01M14TK5TJHPMJ8EVNSFSWK56R,1787944074434,NA,3
01M14TP6RJBA8RACGTECS9XM0Q,01M14SGHT1R1T89RW3KEBWKX4S,training,3,0,4,48,12,2,/tangrams/186_349.png,D4,"[""/tangrams/186_349.png"",""/tangrams/10_15.png"",""/tangrams/14_98.png"",""/tangrams/291_410.png""]","[""D4"",""A1"",""F2"",""F3""]",NA,FALSE,NA,01M14T36DFG88TQ0ZWSNKRAPJ2,01M14TDEA04KFX2ZPQMKS3Y9DB,NA,1787942904974,1
01M14TSZ43XNJHCE2SS45JXDX5,01M14SGHT011RS3K43GJ2H3XM3,training,19,1,8,48,12,2,/tangrams/421_15.png,B1,"[""/tangrams/186_342.png"",""/tangrams/128_7.png"",""/tangrams/10_349.png"",""/tangrams/421_15.png""]","[""D3"",""C2"",""A4"",""B1""]",/tangrams/421_15.png,TRUE,/tangrams/421_15.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787943964282,NA,2
01M14TSZ4DEABWMZHVN3M98X6V,01M14SGHT011RS3K43GJ2H3XM3,training,25,2,2,48,12,2,/tangrams/10_7.png,A2,"[""/tangrams/128_349.png"",""/tangrams/421_342.png"",""/tangrams/10_7.png"",""/tangrams/186_15.png""]","[""C4"",""B3"",""A2"",""D1""]",/tangrams/10_7.png,TRUE,/tangrams/10_7.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787944065296,NA,3
01M14TSZ3CMFNXT539RSV2X1E1,01M14SGHT011RS3K43GJ2H3XM3,training,6,0,7,48,12,2,/tangrams/421_349.png,B4,"[""/tangrams/128_15.png"",""/tangrams/421_349.png"",""/tangrams/10_342.png"",""/tangrams/186_7.png""]","[""C1"",""B4"",""A3"",""D2""]",/tangrams/421_349.png,TRUE,/tangrams/421_349.png,01M14TNZR32DDYDVE7ADVHXW77,01M14TK5TJHPMJ8EVNSFSWK56R,1787943649808,NA,1
01M14TP6QBNC4S7C4KNEERGAM1,01M14SGHT1R1T89RW3KEBWKX4S,training,41,3,6,48,12,2,/tangrams/10_15.png,A1,"[""/tangrams/128_342.png"",""/tangrams/10_15.png"",""/tangrams/14_98.png"",""/tangrams/370_396.png""]","[""C3"",""A1"",""F2"",""F6""]",/tangrams/10_15.png,TRUE,/tangrams/10_15.png,01M14T36DFG88TQ0ZWSNKRAPJ2,01M14TDEA04KFX2ZPQMKS3Y9DB,1787944752176,NA,4
01M14TSZ74N94VBS5YEK9MCC0Z,01M14SGHT011RS3K43GJ2H3XM3,training,36,3,1,48,12,2,/tangrams/10_342.png,A3,"[""/tangrams/10_342.png"",""/tangrams/186_7.png"",""/tangrams/128_349.png"",""/tangrams/421_15.png""]","[""A3"",""D2"",""C4"",""B1""]",/tangrams/10_342.png,TRUE,/tangrams/10_342.png,01M14TNZR32DDYDVE7ADVHXW77,01M14TK5TJHPMJ8EVNSFSWK56R,1787944215500,NA,4
01M14TWRR893SE23W0Q8TPZ35Y,01M14SGHSZFM9JBEJ22KKAENMP,training,39,3,4,48,12,2,/tangrams/421_349.png,B4,"[""/tangrams/128_349.png"",""/tangrams/421_349.png"",""/tangrams/186_7.png"",""/tangrams/421_15.png""]","[""C4"",""B4"",""D2"",""B1""]",/tangrams/421_349.png,TRUE,/tangrams/421_349.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945301172,NA,4
01M14TWRRKB9W8MGZ1H0TZY05A,01M14SGHSZFM9JBEJ22KKAENMP,training,34,2,11,48,12,2,/tangrams/421_342.png,B3,"[""/tangrams/421_342.png"",""/tangrams/186_7.png"",""/tangrams/10_342.png"",""/tangrams/421_349.png""]","[""B3"",""D2"",""A3"",""B4""]",/tangrams/421_342.png,TRUE,/tangrams/421_342.png,01M14TNNG989SSWD0DKW0RVGNH,01M14TB49R9EXHJJTJ0T86KJ84,1787945149381,NA,3
