roundID,gameID,trialNum,block,selectionMadeAt,correct,stage_started,stage_ended,playerID,renderedAt
01M1PW1ZKX29C43BN004ZHPPPS,01M1PVPTMX8QBBEQ1CAWS8Y65C,33,3,1788549955154,TRUE,2026-09-04T19:25:46Z,2026-09-04T19:25:55Z,01M1PVVEHT22G3NCF8EGPQWRYM,1788549946955
01M1PW1ZKX29C43BN004ZHPPPS,01M1PVPTMX8QBBEQ1CAWS8Y65C,33,3,1788549955154,TRUE,2026-09-04T19:25:46Z,2026-09-04T19:25:55Z,01M1PVVDJXTQ0S1H8V336MES03,1788549947248
01M1PW9CSJ2491ZSXXJ5QQFS40,01M1PVPXF92SZVFC9KB45KHNG3,3,1,1788548590347,TRUE,2026-09-04T19:02:44Z,2026-09-04T19:03:11Z,01M1PVVXW244MSV8KK7TFJHPNZ,1788548563312
01M1PW9CSJ2491ZSXXJ5QQFS40,01M1PVPXF92SZVFC9KB45KHNG3,3,1,1788548590347,TRUE,2026-09-04T19:02:44Z,2026-09-04T19:03:11Z,01M1PVVBRZ3YZPYCQZYDADYMR6,1788548564047
01M1PWG1B3ZHD5Y2W1KH97RM2W,01M1PVPY02TEGASTZW7B0B44PE,27,3,1788551120008,TRUE,2026-09-04T19:44:51Z,2026-09-04T19:45:20Z,01M1PW1KKGDQJPNSP87YDPE8Y2,1788551091487
01M1PWG1B3ZHD5Y2W1KH97RM2W,01M1PVPY02TEGASTZW7B0B44PE,27,3,1788551120008,TRUE,2026-09-04T19:44:51Z,2026-09-04T19:45:20Z,01M1PWAKPMFG2PF8ZD5WBT5ANA,1788551091528
01M1PW3H2CEM5MVXSCJBBAPA34,01M1PVPVN58XQ8WD43NR9G03HY,3,1,NA,FALSE,2026-09-04T19:00:01Z,2026-09-04T19:01:01Z,01M1PVY5V93JDTFCY85HPV0HXQ,1788548401502
01M1PW9D1SSPFYC7ES25ZEZBH5,01M1PVPXF92SZVFC9KB45KHNG3,13,2,1788548865854,TRUE,2026-09-04T19:07:28Z,2026-09-04T19:07:46Z,01M1PVVXW244MSV8KK7TFJHPNZ,1788548847799
01M1PW9D1SSPFYC7ES25ZEZBH5,01M1PVPXF92SZVFC9KB45KHNG3,13,2,1788548865854,TRUE,2026-09-04T19:07:28Z,2026-09-04T19:07:46Z,01M1PVVBRZ3YZPYCQZYDADYMR6,1788548848530
01M1PW0KJ2K3TTVHFKJFW8SGHF,01M1PVPSF9NDAT0BF7G6FNHKYQ,28,3,1788548913135,TRUE,2026-09-04T19:08:06Z,2026-09-04T19:08:33Z,01M1PVTRYDJNHHT05DKBKN76E5,1788548888177
01M1PW0KJ2K3TTVHFKJFW8SGHF,01M1PVPSF9NDAT0BF7G6FNHKYQ,28,3,1788548913135,TRUE,2026-09-04T19:08:06Z,2026-09-04T19:08:33Z,01M1PVTG9CCCTFM1SEAAQ81WMP,1788548886957
