roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JFGA4GSGK79ME7GQGRQ0N2SQ,FALSE,01JFG8YYF8H0QD8W9TRHSGW7CC,6,65,0,NA,/tangrams/53_232.png,7,6,"[""/tangrams/224_232.png"",""/tangrams/53_203.png"",""/tangrams/53_232.png"",""/tangrams/224_203.png""]"
01JFGB9AN76C24ZNZCV7G7YV6G,TRUE,01JFGA58DFG208NE3ZXZFARAF8,19,65,1,/tangrams/37_243.png,/tangrams/37_243.png,4,19,"[""/tangrams/37_243.png"",""/tangrams/37_36.png"",""/tangrams/182_243.png"",""/tangrams/182_36.png""]"
01JFGAXKK0PM39HHRNK4V6W9JP,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,2,65,0,/tangrams/258_166.png,/tangrams/258_166.png,3,2,"[""/tangrams/343_347.png"",""/tangrams/241_180.png"",""/tangrams/258_166.png"",""/tangrams/195_56.png""]"
01JFGAXKSRZ29T171VC41E8BM1,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,35,65,2,/tangrams/258_180.png,/tangrams/258_180.png,4,35,"[""/tangrams/195_166.png"",""/tangrams/258_180.png"",""/tangrams/343_347.png"",""/tangrams/241_56.png""]"
01JFGB9ATG23W9W9930QWDPRGQ,TRUE,01JFGA58DFG208NE3ZXZFARAF8,37,65,2,/tangrams/37_36.png,/tangrams/37_36.png,6,37,"[""/tangrams/37_36.png"",""/tangrams/436_36.png"",""/tangrams/37_272.png"",""/tangrams/436_272.png""]"
01JFGAXKWJ0WR0098YKCZWDAJR,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,52,65,3,/tangrams/241_56.png,/tangrams/241_56.png,5,52,"[""/tangrams/241_56.png"",""/tangrams/343_166.png"",""/tangrams/258_347.png"",""/tangrams/195_180.png""]"
01JFGB9AHCQS1NA681ATJ8DWYE,TRUE,01JFGA58DFG208NE3ZXZFARAF8,17,65,1,/tangrams/47_36.png,/tangrams/47_36.png,2,17,"[""/tangrams/47_36.png"",""/tangrams/182_36.png"",""/tangrams/182_243.png"",""/tangrams/47_243.png""]"
01JFG9M8FWX6T857GV22NTBDF9,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,18,65,1,/tangrams/74_82.png,/tangrams/74_82.png,3,18,"[""/tangrams/287_360.png"",""/tangrams/11_392.png"",""/tangrams/74_82.png"",""/tangrams/415_250.png""]"
01JFGA4GTHVM5WF5YJNQ2VQ68A,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,59,65,3,/tangrams/224_119.png,/tangrams/224_119.png,12,59,"[""/tangrams/224_203.png"",""/tangrams/53_119.png"",""/tangrams/53_203.png"",""/tangrams/224_119.png""]"
01JFGAFG1XTF1XF560K727AEKX,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,35,65,2,/tangrams/454_450.png,/tangrams/454_450.png,4,35,"[""/tangrams/219_68.png"",""/tangrams/274_316.png"",""/tangrams/454_450.png"",""/tangrams/442_446.png""]"
