roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M0XFQWQS40BXH21WF7BVE0Y2,01M0XEP3TXK5Z02SVJR2VASG8P,training,7,0,8,48,12,3,/tangrams/289_365.png,F5,"[""/tangrams/180_115.png"",""/tangrams/289_365.png"",""/tangrams/453_410.png"",""/tangrams/89_380.png""]","[""F2"",""F5"",""F1"",""F6""]",/tangrams/289_365.png,TRUE,/tangrams/289_365.png,01M0XEX8ATRQ9G1A1T9FCE8VQM,01M0XFGKS364T502MY6BASRSP2,1787696644057,NA,1
01M0XF1C8VX4E7B79QTD088VB2,01M0XEBJH722J4730WC5V8GCA8,training,47,3,12,48,12,2,/tangrams/128_7.png,C2,"[""/tangrams/186_7.png"",""/tangrams/128_7.png"",""/tangrams/10_342.png"",""/tangrams/128_349.png""]","[""D2"",""C2"",""A3"",""C4""]",NA,NA,NA,NA,NA,NA,NA,4
01M0XF38ZM5FG09FCFBEJ3P2P9,01M0XEBHF9Z6MD8PTP8NQ2PV26,training,34,2,11,48,12,1,/tangrams/98_302.png,F6,"[""/tangrams/157_426.png"",""/tangrams/348_441.png"",""/tangrams/374_400.png"",""/tangrams/98_302.png""]","[""F7"",""B2"",""F8"",""F6""]",/tangrams/98_302.png,TRUE,/tangrams/98_302.png,01M0XESRDHZJ3M6V0HK46Z1NMP,01M0XESCE3HXZW59M8QA45SWJ1,1787696611884,NA,3
01M0XF5J7H7VM934PD62E0SCYG,01M0XEBJH60M51NVP8EGS7231S,training,20,1,9,48,12,2,/tangrams/291_410.png,F3,"[""/tangrams/186_349.png"",""/tangrams/291_410.png"",""/tangrams/236_198.png"",""/tangrams/128_342.png""]","[""D4"",""F3"",""F8"",""C3""]",/tangrams/291_410.png,TRUE,/tangrams/291_410.png,01M0XF1AW05AX3PDCQ9PWGAR99,01M0XEQNJ9809PHWDZ742E11VG,1787696361431,NA,2
01M0XF07E06GD6QHH865XDH0R8,01M0XEBFYW1G5QWYVD4F1CEJQ3,training,15,1,4,48,12,1,/tangrams/66_24.png,A3,"[""/tangrams/20_314.png"",""/tangrams/202_441.png"",""/tangrams/66_24.png"",""/tangrams/348_464.png""]","[""D1"",""C2"",""A3"",""B4""]",/tangrams/66_24.png,TRUE,/tangrams/66_24.png,01M0XEQXM9M74Y1X1MWHARYCDC,01M0XER53CMDT435QVPYSPB86P,1787696408693,NA,2
01M0XF6JX5FSNCA0WRJ0KHS8NQ,01M0XEBKS2G948HDY26TVYK1X9,training,4,0,5,48,12,2,/tangrams/128_342.png,C3,"[""/tangrams/421_7.png"",""/tangrams/10_15.png"",""/tangrams/186_349.png"",""/tangrams/128_342.png""]","[""B2"",""A1"",""D4"",""C3""]",/tangrams/128_342.png,TRUE,/tangrams/128_342.png,01M0XERWA6XTSFFEAXHF1XTBP1,01M0XEQS1Y61NYBS2B9X56Y7HM,1787695849526,NA,1
01M0XF753A47KFJW2WEJ7DB6BX,01M0XEBJH4G5D0NKPXZ6BYKGS7,training,36,3,1,48,12,2,/tangrams/421_349.png,B4,"[""/tangrams/10_342.png"",""/tangrams/421_349.png"",""/tangrams/128_7.png"",""/tangrams/186_15.png""]","[""A3"",""B4"",""C2"",""D1""]",/tangrams/421_349.png,TRUE,/tangrams/421_349.png,01M0XERQ8TV5N8Y3NVYKQG5TNE,01M0XER6FPF3N9GKNC8JSYE9M7,1787697171207,NA,4
01M0XF7M2C1TWWK6CKW3XN2VVA,01M0XEBKS0ZEFNX9SMQQNF9DE2,training,36,3,1,48,12,2,/tangrams/421_342.png,B3,"[""/tangrams/10_7.png"",""/tangrams/421_342.png"",""/tangrams/186_15.png"",""/tangrams/128_349.png""]","[""A2"",""B3"",""D1"",""C4""]",NA,NA,NA,NA,NA,NA,NA,4
01M0XF1CBJ2KCVTTP9KHJT7S32,01M0XEBJH722J4730WC5V8GCA8,training,13,1,2,48,12,2,/tangrams/186_15.png,D1,"[""/tangrams/186_342.png"",""/tangrams/421_349.png"",""/tangrams/186_15.png"",""/tangrams/128_15.png""]","[""D3"",""B4"",""D1"",""C1""]",/tangrams/186_15.png,TRUE,/tangrams/186_15.png,01M0XERZFWJEZDBR149P6YH3F1,01M0XESZDE3CCGRVTP6G18ANBY,1787696424368,NA,2
01M0XFCD77XD4VJ9YXFJPJF856,01M0XEP3TSE5MTCHYTC004C3XD,training,38,3,3,48,12,3,/tangrams/445_116.png,C4,"[""/tangrams/322_60.png"",""/tangrams/445_116.png"",""/tangrams/271_421.png"",""/tangrams/371_244.png""]","[""B1"",""C4"",""A2"",""D3""]",/tangrams/445_116.png,TRUE,/tangrams/445_116.png,01M0XEY6K6WQC3AV5JQQ7N3PQV,01M0XETPA4APE5RG3CX52WNZAV,1787697650307,NA,4
01M0XF031GQ9YFCQ4632QKBJ7S,01M0XEBFYZ40VDCCZ70PM6EWHK,training,10,0,11,48,12,1,/tangrams/157_426.png,F7,"[""/tangrams/20_464.png"",""/tangrams/157_426.png"",""/tangrams/98_302.png"",""/tangrams/66_314.png""]","[""D4"",""F7"",""F6"",""A1""]",/tangrams/157_426.png,TRUE,/tangrams/157_426.png,01M0XEW4XVCD53BQGS5F5TWC4E,01M0XERQP1ZQ8ZKRV6F98VE778,1787695853654,NA,1
01M0XF7M0S1W64EQWQNR47V6NV,01M0XEBKS0ZEFNX9SMQQNF9DE2,training,43,3,8,48,12,2,/tangrams/10_7.png,A2,"[""/tangrams/128_15.png"",""/tangrams/10_7.png"",""/tangrams/421_349.png"",""/tangrams/186_342.png""]","[""C1"",""A2"",""B4"",""D3""]",NA,NA,NA,NA,NA,NA,NA,4
01M0XF2S5C6A29FNCNGN2JZM1A,01M0XEBKS0ZEFNX9SMQDQW2PZ4,training,45,3,10,48,12,2,/tangrams/421_15.png,B1,"[""/tangrams/421_15.png"",""/tangrams/128_15.png"",""/tangrams/10_7.png"",""/tangrams/421_342.png""]","[""B1"",""C1"",""A2"",""B3""]",/tangrams/421_15.png,TRUE,/tangrams/421_15.png,01M0XER9CN1N4H5AFH0XVE2HCE,01M0XES69GNPHVSPMR1TVP4HAR,1787698476422,NA,4
01M0XF396QXWMM3MSM9183JTDS,01M0XEBHF9Z6MD8PTP8NQ2PV26,training,41,3,6,48,12,1,/tangrams/348_441.png,B2,"[""/tangrams/264_176.png"",""/tangrams/348_441.png"",""/tangrams/98_302.png"",""/tangrams/429_403.png""]","[""F3"",""B2"",""F6"",""F2""]",/tangrams/348_441.png,TRUE,/tangrams/348_441.png,01M0XESCE3HXZW59M8QA45SWJ1,01M0XESRDHZJ3M6V0HK46Z1NMP,1787696715887,NA,4
